,Course Title,Unit Count,Requisites,Course Description
107,192C. Undergraduate Assistant Education Practicum in Chemistry and Biochemistry,4.0,,"192C. Undergraduate Assistant Education Practicum in Chemistry and Biochemistry
Units: 4.0
Seminar, one hour; assigned setting, six hours. Limited to juniors/seniors. Training and supervised practicum for advanced undergraduate students to assist in chemistry and biochemistry lectures. Students assist in preparation of materials and development of innovative programs under guidance of faculty members and teaching assistants. May not be applied toward course requirements for any departmental major. May be repeated for credit with consent of instructor. Individual contract required. Information and contracts may be obtained from department. P/NP grading.

"
108,192D. Undergraduate Assistant Education Practicum in Chemistry and Biochemistry,2.0,,"192D. Undergraduate Assistant Education Practicum in Chemistry and Biochemistry
Units: 2.0
Seminar, one hour; assigned setting, five hours. Limited to juniors/seniors. Training and supervised practicum for advanced undergraduate students to assist in chemistry and biochemistry lectures. Students assist in preparation of materials and development of innovative programs under guidance of faculty members and teaching assistants. May not be applied toward course requirements for any departmental major. May be repeated for credit with consent of instructor. Individual contract required. Information and contracts may be obtained from department. P/NP grading.

"
109,M192E. Introduction to Collaborative Learning Theory and Practice,1.0,,"M192E. Introduction to Collaborative Learning Theory and Practice
Units: 1.0
(Formerly numbered 192E.) (Same as Atmospheric and Oceanic Sciences M192A, Computer Science M192A, Life Sciences M192A, Mathematics M192A, and Physics M192S.) Seminar, one hour. Training seminar for undergraduate students who are selected for learning assistant (LA) program. Exploration of current topics in pedagogy and education research focused on methods of learning and their practical application in small-group settings. Students practice communication skills with frequent assessment of and feedback on progress. Letter grading.

"
110,192F. Methods and Application of Collaborative Learning Theory and Practice,2.0 to 4.0,Chemistry and Biochemistry 192E or Life Sciences 192A or Physics 192S with grade of C- or better,"192F. Methods and Application of Collaborative Learning Theory and Practice
Units: 2.0 to 4.0
Seminar, one hour; clinic, one to eight hours. Requisite: course 192E or Life Sciences 192A or Physics 192S with grade of C- or better. With instructor guidance, students apply pedagogical principles based on current education research, assist with development of innovative instructional materials, and receive frequent feedback on their progress. May be repeated for four times for credit. Letter grading.

"
111,193A. Journal Club Seminars: UC LEADS and MARC,2.0,,"193A. Journal Club Seminars: UC LEADS and MARC
Units: 2.0
Seminar, three hours. Designed for juniors/seniors in undergraduate research training programs such as UC LEADS and MARC or those who have strong commitment to pursue graduate studies in natural sciences, engineering, or mathematics. Weekly reading and oral presentations of research or research papers selected from current literature. May be repeated for credit. Letter grading.

"
112,193B. Journal Club Seminars: Chemistry and Biochemistry,2.0,,"193B. Journal Club Seminars: Chemistry and Biochemistry
Units: 2.0
Seminar, three hours. Limited to undergraduate students. Discussion of readings selected from current literature in particular field. May be repeated for credit. P/NP grading.

"
113,194. Research Group Seminars: Chemistry and Biochemistry,1.0,,"194. Research Group Seminars: Chemistry and Biochemistry
Units: 1.0
Seminar, three hours. Designed for undergraduate students who are part of research group. Advanced study and analysis of current topics in physical, organic, or inorganic chemistry or biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. May be repeated for credit. P/NP grading.

"
114,196A. Research Apprenticeship in Chemistry and Biochemistry,2.0 to 4.0,,"196A. Research Apprenticeship in Chemistry and Biochemistry
Units: 2.0 to 4.0
Tutorial, three hours per week per unit. Limited to juniors/seniors. Entry-level research apprenticeship for upper-division students under guidance of faculty mentor. Consult department for additional information regarding requirements, enrollment petitions, and written proposal deadlines. May be repeated for maximum of 8 units. Individual contract required. P/NP grading.

"
115,196B. Research Apprenticeship in Chemistry and Biochemistry,2.0 to 4.0,Chemistry and Biochemistry 196A (8 units),"196B. Research Apprenticeship in Chemistry and Biochemistry
Units: 2.0 to 4.0
Tutorial, three hours per week per unit. Enforced requisite: course 196A (8 units). Limited to juniors/seniors. Research apprenticeship for upper-division students under guidance of faculty mentor. Consult department for additional information regarding requirements, enrollment petitions, and written proposal deadlines. May be taken for maximum of 4 units. Individual contract required. P/NP or letter grading.

"
116,199. Directed Research in Chemistry and Biochemistry,2.0 to 4.0,Chemistry and Biochemistry 196A (8 units),"199. Directed Research in Chemistry and Biochemistry
Units: 2.0 to 4.0
Tutorial, three hours per week per unit. Enforced requisite: course 196A (8 units). Limited to juniors/seniors. Supervised individual research under guidance of faculty mentor. Culminating report required. May be repeated for maximum of 12 units. Individual contract required. P/NP or letter grading.

"
117,C200. Genomics and Computational Biology,5.0,,"C200. Genomics and Computational Biology
Units: 5.0
Lecture, four hours; discussion, one hour. Introduction for biochemistry students of technologies and experimental data of genomics, as well as computational tools for analyzing them. Biochemistry and molecular biology dissected life into its component parts, one gene at time, but lacked integrative mechanisms for putting this information back together to predict what happens in complete organism (e.g., over 80 percent of drug candidates fail in clinical trials). High-throughput technologies such as sequencing, microarrays, mass-spec, and robotics have given biologists incredible new capabilities to analyze complete genomes, expression patterns, functions, and interactions across whole organisms, populations, and species. Use and analysis of such datasets becomes essential daily activity for biomedical scientists. Core principles and methodologies for analyzing genomics data to answer biological and medical questions, with focus on concepts that guide data analysis rather than algorithm details. Concurrently scheduled with course C100. S/U or letter grading.

"
118,201. Scientific Proposal Writing,2.0,,"201. Scientific Proposal Writing
Units: 2.0
Lecture, three hours. Designed for graduate biochemistry and molecular biology students. How to write scientific proposals to be submitted to funding agencies. How to develop curricula vitae, put together grant proposals, and critique proposals. Letter grading.

"
119,203B. Ethics in Chemical Research,2.0,,"203B. Ethics in Chemical Research
Units: 2.0
Seminar, one hour. Discussion of ethics in graduate education, teaching, and chemical research, including issues such as conflicts of interest, plagiarism, intellectual property, sexual harassment, and other topics related to ethical conduct of research. S/U grading.

"
120,203C. Research Integrity and Ethics in Genetics Research,2.0,,"203C. Research Integrity and Ethics in Genetics Research
Units: 2.0
Lecture, 90 minutes. Data analysis and management, statistical methods, use of commercial reagents, microscopy data analysis, figure preparation, authorship, mentoring, human subjects protection, animal subject protection, and conflict of interest. May be repeated for credit. S/U grading.

"
121,203D. Advanced Topics in Responsible Conduct in Cellular and Molecular Biology Research,2.0,Chemistry and Biochemistry 203A or 203B or 203C,"203D. Advanced Topics in Responsible Conduct in Cellular and Molecular Biology Research
Units: 2.0
Seminar, two hours. Enforced requisite: course 203A or 203B or 203C. Cellular and molecular biology PhD students continue to learn how to conduct research in field to reliably advance knowledge while maintaining ethical principles. Designed to be taken in fourth or fifth year of PhD work where students would have already been exposed to many challenges of performing and reporting experiments and who are in stage of their careers where they are beginning to think of applying for postdoctoral fellowships and research and teaching positions. Course helps fulfill training requirement in research integrity for NIH training grants and individual NRSA awards. S/U grading.

"
122,204. Student Research Seminar,2.0,,"204. Student Research Seminar
Units: 2.0
Seminar, one hour. Limited to students supported by UCLA program in Cellular and Molecular Biology Predoctoral Training. Research seminar presented by second- and third-year students. S/U grading.

"
123,CM205A. Introduction to Chemistry of Biology,4.0,,"CM205A. Introduction to Chemistry of Biology
Units: 4.0
(Same as Pharmacology M205A.) Lecture, three hours; discussion, one hour. Introduction to chemical biology. Topics include computational chemical biology, utility of synthesis in biochemical research, peptidomimetics, designed reagents for cellular imaging, natural product biosynthesis, protein engineering and directed evolution, cell biology of metal ions, imaging metal ions in cells, metal-containing drugs. Concurrently scheduled with course C105. Letter grading.

"
124,M205B. Issues on Chemistry/Biology Interface,2.0,Chemistry and Biochemistry CM205A,"M205B. Issues on Chemistry/Biology Interface
Units: 2.0
(Same as Pharmacology M205B.) Seminar, one hour. Requisite: course CM205A. Selected talks and papers presented by training faculty on solving problems and utilizing tools in chemistry and molecular biology on chemistry/biology interface (CBI). S/U grading.

"
125,206. Chemistry of Biology Seminar,2.0,,"206. Chemistry of Biology Seminar
Units: 2.0
Seminar, three hours. Limited to students supported by UCLA program in Chemistry/Biology Interface Predoctoral Training. Current research topics at interface of chemistry and biology. May be repeated for credit. S/U grading.

"
126,C207. Organometallic Chemistry,4.0,Chemistry and Biochemistry 172,"C207. Organometallic Chemistry
Units: 4.0
Lecture/discussion, three hours. Requisite or corequisite: course 172. Survey of synthesis, structure, and reactivity (emphasizing mechanistic approach) of compounds containing carbon bonded to elements selected from main group metals, metalloids, and transition metals, including olefin complexes and metal carbonyls; applications in catalysis and organic synthesis. Concurrently scheduled with course C107. S/U or letter grading.

"
127,C208. Mass Spectrometry for Chemists and Biochemists,2.0,Chemistry and Biochemistry 153A,"C208. Mass Spectrometry for Chemists and Biochemists
Units: 2.0
Lecture, one hour; laboratory, four hours. Requisite: course 153A. Introduction to principles and practice of organic and inorganic mass spectrometry. Topics include EI, CI, ICPMS, GC/MS, LC/MS, ESI, MALDI, MS/MS protein identification, and proteomics. Concurrently scheduled with course C108. S/U or letter grading.

"
128,209. Introduction to Chemistry Research,2.0,,"209. Introduction to Chemistry Research
Units: 2.0
Seminar, two hours. Half-hour presentations each session by three different chemistry professors to introduce their research programs. S/U grading.

"
129,210. Advanced Topics in Chemical Research,2.0,,"210. Advanced Topics in Chemical Research
Units: 2.0
Seminar, one hour. Designed for second-year graduate students to help them engage contemporary challenges in chemical research and their own research projects. Building of critical thinking skills and proposal writing skills. S/U grading.

"
130,C213B. Quantum Chemistry Methods,4.0,Chemistry and Biochemistry 113A,"C213B. Quantum Chemistry Methods
Units: 4.0
Lecture, three hours; discussion, one hour; tutorial, one hour. Requisite: course 113A. Complete introduction to electronic structure theory methods used by general computational chemistry community, focusing primarily on ab initio methods. Students gain understanding of electronic structure methods and tools to identify which methods are suitable for which types of systems. Methods covered include Hartree Fock, density-functional theory, perturbative methods, and modern high-correlation methods; and highlight algorithms necessary to implement these methods efficiently. Concurrently scheduled with course C113B. Independent study project required of graduate students. S/U or letter grading.

"
131,C215A. Quantum Chemistry: Methods,4.0,Chemistry and Biochemistry 113A Mathematics 31A 31B 32A 32B 33A with grades of C- or better knowledge of differential equations equivalent to Mathematics 134 or 135 or Physics 131 and of analytic mechanics equivalent to Physics 105A,"C215A. Quantum Chemistry: Methods
Units: 4.0
Lecture, four hours; discussion, one hour. Requisites: course 113A, Mathematics 31A, 31B, 32A, 32B, 33A, with grades of C- or better. Recommended: knowledge of differential equations equivalent to Mathematics 134 or 135 or Physics 131 and of analytic mechanics equivalent to Physics 105A. Course C215A or Physics 115B with grade of C- or better is requisite to C215B. Students entering course C215A are normally expected to take course C215B in following term. Designed for chemistry students with serious interest in quantum chemistry. Postulates and systematic development of nonrelativistic quantum mechanics; expansion theorems; wells; oscillators; angular momentum; hydrogen atom; matrix techniques; approximation methods; time dependent problems; atoms; spectroscopy; magnetic resonance; chemical bonding. May be concurrently scheduled with course C115A. S/U or letter grading.

"
132,C215B. Quantum Chemistry: Methods,4.0,Chemistry and Biochemistry 113A C215A or Physics 115B Mathematics 31A 31B 32A 32B 33A with grades of C- or better,"C215B. Quantum Chemistry: Methods
Units: 4.0
Lecture, four hours; discussion, one hour. Requisites: course 113A, C215A or Physics 115B, Mathematics 31A, 31B, 32A, 32B, 33A, with grades of C- or better. Recommended: knowledge of differential equations equivalent to Mathematics 134 or 135 or Physics 131 and of analytic mechanics equivalent to Physics 105A. Students entering course C215A are normally expected to take course C215B in following term. Designed for chemistry students with serious interest in quantum chemistry. Postulates and systematic development of nonrelativistic quantum mechanics; expansion theorems; wells; oscillators; angular momentum; hydrogen atom; matrix techniques; approximation methods; time dependent problems; atoms; spectroscopy; magnetic resonance; chemical bonding. May be concurrently scheduled with course C115B. S/U or letter grading.

"
133,C215C. Advanced Quantum Chemistry: Applications  ,4.0,Chemistry and Biochemistry C215B,"C215C. Advanced Quantum Chemistry: Applications  
Units: 4.0
Lecture, three hours; discussion, one hour. Requisite: course C215B. Topics in quantum chemistry selected from molecular structure, collision processes, theory of solids, symmetry and its applications, and theory of electromagnetic radiation. Concurrently scheduled with course C115C. S/U or letter grading.

"
134,218. Chemistry Student Exit Seminar,2.0,,"218. Chemistry Student Exit Seminar
Units: 2.0
Seminar, two hours. Seminars presented by staff, outside speakers, postdoctoral fellows, and graduate students. May be repeated for credit. S/U grading.

"
135,219A. Seminars: Research in Physical Chemistry--Photon Resolved Spectroscopy of Materials (Physical Chemistry),2.0,,"219A. Seminars: Research in Physical Chemistry--Photon Resolved Spectroscopy of Materials (Physical Chemistry)
Units: 2.0
Seminar, three hours. Limited to chemistry graduate students. Discussion of recent progress in area of photon resolved spectroscopies, with focus on materials and biophysics applications. Literature discussion, discussion of recent results, safety procedures, and guest lectures. S/U grading.

"
136,219E. Seminar: Research in Physical Chemistry--Dynamics of Molecule-Molecule and Molecule-Surface Reactions,2.0,,"219E. Seminar: Research in Physical Chemistry--Dynamics of Molecule-Molecule and Molecule-Surface Reactions
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
137,"219I. Seminar: Research in Physical Chemistry--Spectroscopy of Isolated Molecules, Complexes, and Clusters",2.0,,"219I. Seminar: Research in Physical Chemistry--Spectroscopy of Isolated Molecules, Complexes, and Clusters
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
138,219J. Seminar: Research in Physical Chemistry--Chemistry and Biophysics of Interfaces,2.0,,"219J. Seminar: Research in Physical Chemistry--Chemistry and Biophysics of Interfaces
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
139,219K. Seminar: Research in Physical Chemistry--Statistical Mechanics of Disordered Systems,2.0,,"219K. Seminar: Research in Physical Chemistry--Statistical Mechanics of Disordered Systems
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
140,219L. Seminar: Research in Physical Chemistry--Modern Methods for Molecular Reactions and Structure,2.0,,"219L. Seminar: Research in Physical Chemistry--Modern Methods for Molecular Reactions and Structure
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
141,219Q. Seminar: Research in Physical Chemistry--Ultrafast Studies of Chemical Reaction Dynamics in Condensed Phase,2.0,,"219Q. Seminar: Research in Physical Chemistry--Ultrafast Studies of Chemical Reaction Dynamics in Condensed Phase
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
142,"219R. Seminar: Research in Physical Chemistry--Kinetic, Thermodynamic, and Interfacial Effects in Materials",2.0,,"219R. Seminar: Research in Physical Chemistry--Kinetic, Thermodynamic, and Interfacial Effects in Materials
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
143,219S. Seminar: Research in Physical Chemistry--Nanoscience,2.0,,"219S. Seminar: Research in Physical Chemistry--Nanoscience
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
144,219T. Seminar: Research in Physical Chemistry--Single-Molecule Spectroscopy in Biology,2.0,,"219T. Seminar: Research in Physical Chemistry--Single-Molecule Spectroscopy in Biology
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
145,219U. Seminar: Research in Physical Chemistry--Theory and Applications of Magnetic Resonance Spectroscopy and Imaging,2.0,,"219U. Seminar: Research in Physical Chemistry--Theory and Applications of Magnetic Resonance Spectroscopy and Imaging
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
146,"219V. Seminar: Research in Physical Chemistry--Complex Fluids: Composition, Structure, and Rheology",2.0,,"219V. Seminar: Research in Physical Chemistry--Complex Fluids: Composition, Structure, and Rheology
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
147,219W. Seminar: Research in Physical Chemistry--Biophysics and Statistical Mechanics of Soft Matter,2.0,,"219W. Seminar: Research in Physical Chemistry--Biophysics and Statistical Mechanics of Soft Matter
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
148,219X. Seminar: Research in Physical Chemistry--Dynamic Processes in Chemically Reacting Flow Systems,2.0,,"219X. Seminar: Research in Physical Chemistry--Dynamic Processes in Chemically Reacting Flow Systems
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
149,219Y. Seminar: Research in Physical Chemistry--Theory and Computation for Materials,2.0,,"219Y. Seminar: Research in Physical Chemistry--Theory and Computation for Materials
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
150,219Z. Seminar: Research in Physical Chemistry--Single-Cell Physiology,2.0,,"219Z. Seminar: Research in Physical Chemistry--Single-Cell Physiology
Units: 2.0
Seminar, three hours. Advanced study and analysis of current topics in physical chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
151,221A. Advanced Topics in Physical Chemistry  ,2.0 to 4.0,,"221A. Advanced Topics in Physical Chemistry  
Units: 2.0 to 4.0
Lecture, two to four hours. Each course encompasses one recognized specialty in physical chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
152,221B. Advanced Topics in Physical Chemistry  ,2.0 to 4.0,,"221B. Advanced Topics in Physical Chemistry  
Units: 2.0 to 4.0
Lecture, two to four hours. Each course encompasses one recognized specialty in physical chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
153,221C. Advanced Topics in Physical Chemistry  ,2.0 to 4.0,,"221C. Advanced Topics in Physical Chemistry  
Units: 2.0 to 4.0
Lecture, two to four hours. Each course encompasses one recognized specialty in physical chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
154,221D. Advanced Topics in Physical Chemistry  ,2.0 to 4.0,,"221D. Advanced Topics in Physical Chemistry  
Units: 2.0 to 4.0
Lecture, two to four hours. Each course encompasses one recognized specialty in physical chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
155,221G. Advanced Topics in Physical Chemistry  ,2.0 to 4.0,,"221G. Advanced Topics in Physical Chemistry  
Units: 2.0 to 4.0
Lecture, two to four hours. Each course encompasses one recognized specialty in physical chemistry, generally taught by faculty members whose research interests embrace that specialty. S/U or letter grading.

"
156,C222. Mathematical Methods for Chemistry,4.0,Mathematics 31A 31B 32A 32B,"C222. Mathematical Methods for Chemistry
Units: 4.0
Lecture, four hours. Enforced requisites: Mathematics 31A, 31B, 32A, 32B. Review of basic mathematics necessary to study physical chemistry at graduate level, with focus on review of vectors, linear algebra, elementary complex analysis, and solution of ordinary and partial differential equations. Development of problem-solving skills through homework based on these mathematical techniques, with examples from physical chemistry. Concurrently scheduled with course C122. S/U or letter grading.

"
157,C223A. Classical and Statistical Thermodynamics  ,4.0,Chemistry and Biochemistry 110B or 156,"C223A. Classical and Statistical Thermodynamics  
Units: 4.0
Lecture, four hours; discussion, one hour. Requisite: course 110B or 156. Recommended: course 113A. Presentation of fundamentals of classical thermodynamics. Principles of statistical thermodynamics: probability, ensembles, partition functions, independent molecules, and perfect gas. Applications of classical and statistical thermodynamics selected from diatomic and polyatomic gases, solid and fluid states, phase equilibria, electric and magnetic effects, ortho-para hydrogen, chemical equilibria, reaction rates, imperfect gas, nonelectrolyte and electrolyte solutions, surface phenomena, high polymers, gravitation. May be concurrently scheduled with course C123A. S/U or letter grading.

"
158,C223B. Classical and Statistical Thermodynamics  ,4.0,Chemistry and Biochemistry 110B or 156,"C223B. Classical and Statistical Thermodynamics  
Units: 4.0
Lecture, four hours; discussion, one hour. Requisite: course 110B or 156. Recommended: course 113A. Presentation of fundamentals of classical thermodynamics. Principles of statistical thermodynamics: probability, ensembles, partition functions, independent molecules, and perfect gas. Applications of classical and statistical thermodynamics selected from diatomic and polyatomic gases, solid and fluid states, phase equilibria, electric and magnetic effects, ortho-para hydrogen, chemical equilibria, reaction rates, imperfect gas, nonelectrolyte and electrolyte solutions, surface phenomena, high polymers, gravitation. May be concurrently scheduled with course C123B. S/U or letter grading.

"
159,M223C. Nonequilibrium Statistical Mechanics and Molecular Biophysics,4.0,Chemistry and Biochemistry C215B and Chemistry and Biochemistry C223B or Physics 215A,"M223C. Nonequilibrium Statistical Mechanics and Molecular Biophysics
Units: 4.0
(Same as Physics M215D.) Lecture, three hours. Requisites: courses C215B and C223B, or Physics 215A. Fundamentals of nonequilibrium thermodynamics and statistical mechanics applied to molecular biophysics. S/U or letter grading.

"
160,C226A. Computational Methods for Chemists,4.0,Chemistry and Biochemistry 110A 113A Chemistry and Biochemistry Mathematics 33A,"C226A. Computational Methods for Chemists
Units: 4.0
Lecture, one hour; laboratory, four hours. Requisites: courses 110A, 113A, Mathematics 33A. Covers some basics of scientific coding. Introduction to advanced applications provided through commercially available computational packages. Includes quantum mechanical techniques for chemistry, reactivity, spectroscopy, solid state calculations; statistical mechanical techniques for chemistry and biochemistry; python coding, basic algorithms, machine learning, and numerical techniques. Concurrently scheduled with course C126A. S/U or letter grading.

"
161,CM227. Synthetic Biology for Biofuels,4.0,Chemistry and Biochemistry 153A,"CM227. Synthetic Biology for Biofuels
Units: 4.0
(Same as Chemical Engineering CM227.) Lecture, four hours; discussion, one hour. Requisite: course 153A. Engineering microorganisms for complex phenotype is common goal of metabolic engineering and synthetic biology. Production of advanced biofuels involves designing and constructing novel metabolic networks in cells. Such efforts require profound understanding of biochemistry, protein structure, and biological regulations and are aided by tools in bioinformatics, systems biology, and molecular biology. Fundamentals of metabolic biochemistry, protein structure and function, and bioinformatics. Use of systems modeling for metabolic networks to design microorganisms for energy applications. Concurrently scheduled with course CM127. S/U or letter grading.

"
162,228. Chemical Physics Seminar  ,2.0,,"228. Chemical Physics Seminar  
Units: 2.0
Seminar, two hours. Seminars presented by staff, outside speakers, postdoctoral fellows, and graduate students. May be repeated for credit. S/U or letter grading.

"
163,229. Introduction to Physical Chemistry Research  ,2.0,,"229. Introduction to Physical Chemistry Research  
Units: 2.0
Lecture, 90 minutes. Designed primarily for entering graduate physical chemistry students. S/U grading.

"
164,230A. Methods of Structural Molecular Biology: X-ray Crystallography and Electron Microscopy,4.0,Chemistry and Biochemistry 156 Mathematics 3C or 33A Physics 1C or 5B,"230A. Methods of Structural Molecular Biology: X-ray Crystallography and Electron Microscopy
Units: 4.0
Lecture, four hours; discussion, one hour. Requisites: course 156, Mathematics 3C or 33A, Physics 1C or 5B. Methods for structure determination of biomacromolecules--proteins and nucleic acids--focusing on X-ray crystallography, cryo-EM imaging, and electron diffraction. Covers mathematical and computational methods used to obtain atomic structural models of biomolecules. Key physical principles include scattering phenomena, interference and diffraction, symmetry, Fourier transforms, and atomic interpretation of molecular structures in three-dimensions. Letter grading.

"
165,M230B. Structural Molecular Biology,4.0,Mathematics 3C Physics 6C,"M230B. Structural Molecular Biology
Units: 4.0
(Same as Molecular, Cell, and Developmental Biology M230B.) Lecture, three hours; discussion, one hour. Requisites: Mathematics 3C, Physics 6C. Selected topics from principles of biological structure; structures of globular proteins and RNAs; structures of fibrous proteins, nucleic acids, and polysaccharides; harmonic analysis and Fourier transforms; principles of electron, neutron, and X-ray diffraction; optical and computer filtering; three-dimensional reconstruction. S/U or letter grading.

"
166,M230D. Structural Molecular Biology Laboratory  ,2.0,Chemistry and Biochemistry M230B,"M230D. Structural Molecular Biology Laboratory  
Units: 2.0
(Same as Molecular, Cell, and Developmental Biology M230D.) Laboratory, 10 hours. Corequisite: course M230B. Methods in structural molecular biology, including experiments utilizing single crystal X-ray diffraction, low angle X-ray diffraction, electron diffraction, optical diffraction, optical filtering, three-dimensional reconstruction from electron micrographs, and model building. S/U or letter grading.

"
167,C232A. Core Principles in Cell and Molecular Biology,4.0,Life Sciences 7A 7B 7C 23L,"C232A. Core Principles in Cell and Molecular Biology
Units: 4.0
Lecture, four hours. Requisites: Life Sciences 7A, 7B, 7C, 23L. Students gain broad foundational knowledge and skills for rigorous research in emerging areas of cell and molecular biology. Focus on foundational knowledge of cell and molecular biology research areas including cell cycle, cell signaling, cell metabolism, cell communication, cell states and fates, genomes, and proteomes. Focus on skills development for cell and molecular biology research. Students are equipped with theory of modern experimental approaches, and acquire hands-on skills training in designing experiments and analyzing data using these approaches. Students meet with directors of shared core facilities that specialize in these approaches to facilitate use of these approaches in their research Continuation of in-depth analysis of rigorous experimental design and statistical analyses in cell and molecular biology. Concurrently scheduled with course C132A. Letter grading.

"
168,232B. Skills Development for Cell and Molecular Biologists,2.0,,"232B. Skills Development for Cell and Molecular Biologists
Units: 2.0
Seminar, two hours. Students are trained to develop skills necessary to persist and thrive as researchers and scholars in cellular and molecular biology. Topics include resilience in science, balancing work/life, organizing research and career goals, writing impactful abstracts, and presenting great talks. S/U grading.

"
169,232C. Advanced Topics and Approaches in Cell and Molecular Biology Research,2.0,,"232C. Advanced Topics and Approaches in Cell and Molecular Biology Research
Units: 2.0
Seminar, two hours. Students are trained in current research problems in cellular and molecular biology, and how modern approaches are being used to address these problems. Topics vary based on topical questions and emerging methods/technologies in cellular and molecular biology research. S/U grading.

"
170,232D. Career Development for Cell and Molecular Biologists,2.0,,"232D. Career Development for Cell and Molecular Biologists
Units: 2.0
Seminar, two hours. Provides career training to prepare cellular and molecular biologist trainees for biomedical careers. Topics include exploring careers in academia, industry, non-traditional paths, and building start-ups; creating professional resumes, cover letters, and job opportunity networks; and connecting to internships on and off campus. S/U grading.

"
171,235E. Seminar: Research in Organic Chemistry--Theoretical and Physical Organic Chemistry,2.0,,"235E. Seminar: Research in Organic Chemistry--Theoretical and Physical Organic Chemistry
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
172,235F. Seminar: Research in Organic Chemistry--Synthetic Methods and Synthesis of Natural Products,2.0,,"235F. Seminar: Research in Organic Chemistry--Synthetic Methods and Synthesis of Natural Products
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
173,235G. Seminar: Research in Organic Chemistry--Organometallic Chemistry and Organic Synthesis,2.0,,"235G. Seminar: Research in Organic Chemistry--Organometallic Chemistry and Organic Synthesis
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
174,235I. Seminar: Research in Organic Chemistry--Fullerene Chemistry and Materials Science,2.0,,"235I. Seminar: Research in Organic Chemistry--Fullerene Chemistry and Materials Science
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
175,235K. Seminar: Research in Organic Chemistry--Organic Chemistry in Organized and Restricted Media,2.0,,"235K. Seminar: Research in Organic Chemistry--Organic Chemistry in Organized and Restricted Media
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
176,235N. Seminar: Research in Organic Chemistry--Target- and Diversity-Oriented Synthesis of Natural Products and Product-Like Molecules,2.0,,"235N. Seminar: Research in Organic Chemistry--Target- and Diversity-Oriented Synthesis of Natural Products and Product-Like Molecules
Units: 2.0
Seminar/research group meeting, three hours. Advanced study and analysis of current topics in organic chemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.

"
